"Frame Number" "Frame Width" "Frame Height" xmin ymin xmax ymax
0 720 800 218 418 247 447
1 720 800 220 406 249 435
2 720 800 220 398 250 426
3 720 800 222 391 252 419
4 720 800 223 388 254 416
5 720 800 225 387 256 416
6 720 800 227 390 258 419
7 720 800 230 396 261 425
8 720 800 232 405 264 436
9 720 800 236 420 267 452
10 720 800 239 437 271 471
11 720 800 242 460 274 499
12 720 800 245 493 278 530
13 720 800 249 529 282 572
14 720 800 241 521 278 560
26 720 800 307 428 328 449
27 720 800 8 61 11 64
33 720 800 694 315 722 340
36 720 800 604 244 629 266
39 720 800 383 522 411 545
40 720 800 518 247 542 270
41 720 800 236 537 264 560
42 720 800 167 547 195 571
43 720 800 100 559 128 583
44 720 800 32 572 60 595
55 720 800 338 243 364 268
56 720 800 333 244 356 267
59 720 800 329 244 353 269
60 720 800 332 246 356 270
61 720 800 336 248 359 272
62 720 800 130 694 157 718
64 720 800 342 247 366 271
67 720 800 340 243 363 267
68 720 800 333 244 357 268
71 720 800 303 255 327 278
72 720 800 293 258 318 282
73 720 800 284 260 308 284
74 720 800 196 21 223 43
79 720 800 252 289 276 314
82 720 800 245 301 270 326
87 720 800 278 317 304 342
96 720 800 361 398 388 424
103 720 800 448 558 471 580
104 720 800 412 545 435 568
105 720 800 376 533 399 557
106 720 800 340 522 364 546
107 720 800 306 510 329 534
108 720 800 274 499 298 523
109 720 800 244 486 268 510
116 720 800 426 158 448 181
118 720 800 628 261 655 286
124 720 800 630 139 658 166
125 720 800 390 701 411 722
131 720 800 325 338 352 365
133 720 800 306 762 329 785
138 720 800 477 416 503 445
142 720 800 194 531 219 556
151 720 800 429 776 451 799
154 720 800 412 198 434 220
155 720 800 410 199 432 221
156 720 800 405 200 428 224
157 720 800 398 203 422 228
166 720 800 502 488 527 511
171 720 800 562 373 586 399
172 720 800 707 783 730 810
