"Frame Number" "Frame Width" "Frame Height" xmin ymin xmax ymax
3 720 800 281 193 329 231
4 720 800 89 586 124 638
5 720 800 86 592 121 645
6 720 800 83 598 117 651
7 720 800 80 605 114 658
8 720 800 76 611 111 665
9 720 800 73 617 107 672
10 720 800 69 623 104 679
11 720 800 65 629 101 686
12 720 800 61 635 97 692
13 720 800 57 641 93 700
14 720 800 52 648 88 707
15 720 800 47 655 83 715
16 720 800 38 647 80 722
17 720 800 269 197 329 244
18 720 800 268 200 329 246
19 720 800 267 203 329 249
20 720 800 265 205 328 250
21 720 800 263 202 327 249
22 720 800 261 193 320 246
23 720 800 260 184 319 243
24 720 800 259 177 318 241
25 720 800 258 174 317 241
26 720 800 256 175 316 242
27 720 800 251 179 315 245
28 720 800 247 183 313 246
29 720 800 243 185 311 246
30 720 800 237 185 307 247
31 720 800 232 183 304 247
32 720 800 225 180 299 248
33 720 800 219 177 295 249
34 720 800 212 173 290 249
35 720 800 205 169 285 249
36 720 800 198 164 279 249
37 720 800 191 157 263 242
38 720 800 187 150 247 228
39 720 800 187 146 239 218
40 720 800 194 145 237 213
41 720 800 13 5 41 48
42 720 800 194 260 236 316
46 720 800 164 291 215 373
49 720 800 183 224 264 317
50 720 800 197 221 280 330
51 720 800 249 193 320 271
52 720 800 264 194 335 277
53 720 800 194 344 245 383
58 720 800 561 182 594 216
61 720 800 639 208 662 231
62 720 800 665 216 688 239
77 720 800 8 266 20 280
120 720 800 254 2 296 50
131 720 800 158 0 177 12
149 720 800 9 61 21 71
151 720 800 222 98 268 129
155 720 800 33 0 44 6
158 720 800 0 20 13 50
168 720 800 642 302 667 327
172 720 800 0 69 46 100
173 720 800 0 69 47 100
174 720 800 0 69 47 98
178 720 800 338 355 381 397
182 720 800 584 548 636 606
183 720 800 587 548 637 606
184 720 800 534 0 548 12
185 720 800 586 548 638 606
186 720 800 586 548 638 606
187 720 800 585 549 639 606
188 720 800 585 549 639 606
189 720 800 585 549 640 606
190 720 800 584 549 640 606
191 720 800 584 548 640 606
192 720 800 208 464 292 524
193 720 800 584 549 639 606
194 720 800 585 549 640 606
195 720 800 535 0 556 15
196 720 800 535 0 556 15
197 720 800 535 0 556 15
